player,team,position,height,weight,age,experience,college,salary,games,minutes,points3,points2,points1,points,rebounds,assists,steals,blocks,turnovers,fouls
Kendrick Perkins,CLE,C,82,270,33,13,,13156,1,15,0,1,1,3,1,2,1,0,1,1
Kevin Love,CLE,C,82,251,29,9,"University of California, Los Angeles",22642350,59,1651,137,197,234,1039,546,103,43,24,90,120
Kyle Korver,CLE,SG,79,212,36,14,Creighton University,7.00E+06,73,1574,164,58,64,672,165,88,31,27,55,130
Larry Nance,CLE,C,81,230,25,2,University of Wyoming,1471382,24,499,1,87,36,213,168,25,29,18,10,59
LeBron James,CLE,PF,80,250,33,14,,33285709,82,3026,149,708,388,2251,709,747,116,71,347,136
London Perrantes,CLE,PG,74,200,23,0,University of Virginia,0,14,66,0,2,3,7,4,5,2,1,1,6
Rodney Hood,CLE,SG,80,206,25,3,"Mississippi State University, Duke University",2386864,21,532,25,63,26,227,54,30,15,5,7,41
Tristan Thompson,CLE,C,81,238,26,6,University of Texas at Austin,16400000,53,1072,0,132,43,307,352,33,16,17,36,102
Al Jefferson,IND,C,82,289,33,13,,9769821,36,484,0,111,30,252,143,30,16,23,21,66
Alex Poythress,IND,PF,79,238,24,1,University of Kentucky,778668,25,104,4,7,0,26,17,2,3,1,2,16
Ben Moore,IND,PF,79,203,22,0,Southern Methodist University,0,2,9,0,0,0,0,1,1,0,0,0,4
Bojan Bogdanovic,IND,SF,80,216,28,3,,10500000,80,2464,155,249,178,1141,270,119,55,8,106,129
Cory Joseph,IND,PG,75,193,26,6,University of Texas at Austin,7630000,82,2210,67,189,70,649,263,260,80,18,87,141
Damien Wilkins,IND,SF,78,225,38,9,"North Carolina State University, University of Georgia",1016617,19,152,4,9,3,33,16,9,2,1,5,7
Darren Collison,IND,PG,72,175,30,8,"University of California, Los Angeles",1.00E+07,69,2018,96,220,127,855,178,368,92,15,86,122
Domantas Sabonis,IND,C,83,240,21,1,Gonzaga University,2550000,74,1810,13,327,168,861,572,151,40,32,137,220
Edmond Sumner,IND,PG,78,176,22,0,Xavier University,0,1,2,0,1,0,2,1,0,0,0,0,1
Glenn Robinson,IND,SF,78,222,24,3,University of Michigan,1524305,23,338,14,22,9,95,37,17,13,1,5,14
Ike Anigbogu,IND,C,82,252,19,0,"University of California, Los Angeles",950000,11,30,0,4,5,13,9,0,1,3,2,1
Joe Young,IND,PG,74,180,25,2,"University of Houston, University of Oregon",1471382,53,558,25,55,22,207,63,39,14,1,26,39
Lance Stephenson,IND,SG,77,230,27,7,University of Cincinnati,4180000,82,1850,67,236,84,757,424,235,46,17,131,177
Myles Turner,IND,C,83,243,21,2,University of Texas at Austin,2569920,65,1836,56,250,160,828,417,87,38,118,96,186
T.J. Leaf,IND,PF,82,222,20,0,"University of California, Los Angeles",2028360,53,459,18,46,10,156,82,9,5,4,10,45
Thaddeus Young,IND,PF,80,221,29,10,Georgia Institute of Technology,14796348,81,2607,58,363,55,955,512,152,135,36,105,175
Trey McKinney-Jones,IND,SG,77,214,27,0,University of Miami,46080,1,1,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,IND,SG,76,210,25,4,Indiana University,2.10E+07,75,2552,161,479,294,1735,390,323,177,57,219,175
Bam Adebayo,MIA,C,82,243,20,0,University of Kentucky,2490360,69,1368,0,174,129,477,381,101,32,41,66,138
Derrick Jones,MIA,SF,79,190,20,1,"University of Nevada, Las Vegas",0,14,212,3,16,11,52,34,6,3,9,6,22
Derrick Walton,MIA,PG,73,189,22,0,University of Michigan,0,16,147,7,1,6,29,16,16,7,3,2,7
Dion Waiters,MIA,SG,76,225,26,5,Syracuse University,1.10E+07,30,918,52,111,51,429,77,113,23,9,70,61
Dwyane Wade,MIA,SG,76,220,36,14,Marquette University,1471382,21,467,9,92,41,252,71,65,19,15,48,40
Goran Dragic,MIA,PG,75,190,31,9,,17000450,75,2378,111,373,217,1296,307,359,63,12,166,180
Hassan Whiteside,MIA,C,84,265,28,5,Marshall University,23775506,54,1364,2,310,128,754,618,54,37,94,92,131
James Johnson,MIA,PF,81,250,30,8,Wake Forest University,13954000,73,1943,57,252,113,788,358,280,70,51,141,192
Jordan Mickey,MIA,PF,80,235,23,2,Louisiana State University,1471382,23,284,2,37,13,93,81,9,6,10,18,36
Josh Richardson,MIA,SF,78,200,24,2,University of Tennessee,1471382,81,2689,127,272,120,1045,285,231,121,75,140,199
Justise Winslow,MIA,PF,79,225,21,2,Duke University,2705040,68,1680,49,158,66,529,370,148,54,33,77,140
Kelly Olynyk,MIA,PF,84,238,26,4,Gonzaga University,10607169,76,1779,106,210,134,872,431,207,62,35,147,222
Luke Babbitt,MIA,SF,81,225,28,7,"University of Nevada, Reno",1974159,13,145,11,0,0,33,15,5,1,2,4,7
Matt Williams,MIA,SG,77,210,24,0,University of Central Florida,0,3,11,1,1,0,5,1,0,0,0,1,1
Rodney McGruder,MIA,SG,76,205,26,1,Kansas State University,1312611,18,299,15,21,4,91,32,17,8,3,4,21
Tyler Johnson,MIA,PG,76,186,25,3,"California State University, Fresno",5881260,72,2052,119,190,106,843,248,165,60,34,81,148
Udonis Haslem,MIA,C,80,235,37,14,University of Florida,1471382,14,72,1,2,1,8,10,5,0,2,2,3
Wayne Ellington,MIA,SG,76,200,30,8,University of North Carolina,6270000,77,2041,227,58,67,864,218,79,53,8,52,94
Brandon Jennings,MIL,PG,73,170,28,8,,297169,14,205,9,18,10,73,31,44,6,4,18,11
D.J. Wilson,MIL,PF,82,234,21,0,University of Michigan,2135040,22,71,2,7,1,21,10,3,3,1,4,7
DeAndre Liggins,MIL,SG,78,209,29,4,University of Kentucky,757427,31,480,11,11,2,57,49,27,27,10,13,61
Eric Bledsoe,MIL,PG,73,205,28,7,University of Kentucky,14500000,71,2239,121,331,241,1266,277,361,145,40,206,179
Gary Payton,MIL,PG,75,190,25,1,Oregon State University,0,12,106,2,11,2,30,17,9,3,1,3,17
Giannis Antetokounmpo,MIL,PF,83,222,23,4,,22471910,75,2756,43,699,487,2014,753,361,109,106,223,231
Jabari Parker,MIL,PF,80,250,22,3,Duke University,6782392,31,743,31,129,40,391,151,59,25,10,45,50
Jason Terry,MIL,SG,74,185,40,18,University of Arizona,1471382,51,814,40,19,8,166,48,59,42,13,25,52
Joel Bolomboy,MIL,PF,81,235,24,1,Weber State University,0,6,38,0,3,3,9,10,0,2,0,2,3
John Henson,MIL,C,83,229,27,5,University of North Carolina,11422536,76,1970,1,286,90,665,513,114,45,109,84,202
Khris Middleton,MIL,SF,80,234,26,5,Texas A&M University,14100000,82,2982,146,447,320,1652,429,328,119,21,191,270
Malcolm Brogdon,MIL,PG,77,215,25,1,University of Virginia,1312611,48,1436,62,182,75,625,156,152,41,13,66,128
Marshall Plumlee,MIL,C,84,250,25,1,Duke University,0,8,52,0,1,12,14,17,2,0,1,3,10
Matthew Dellavedova,MIL,PG,76,198,27,4,Saint Mary's College of California,9607500,38,712,29,26,25,164,64,145,14,0,49,67
Mirza Teletovic,MIL,PF,81,242,32,5,,10500000,10,159,21,4,0,71,23,10,4,1,7,14
Sean Kilpatrick,MIL,SG,76,210,28,3,University of Cincinnati,789725,23,205,13,18,18,93,25,15,5,1,9,15
Shabazz Muhammad,MIL,SG,78,223,25,4,"University of California, Los Angeles",324203,11,117,3,34,17,94,31,7,4,1,1,7
Sterling Brown,MIL,SG,77,225,22,0,Southern Methodist University,815615,54,776,32,50,21,217,143,25,31,13,25,80
Thon Maker,MIL,C,85,216,20,1,,2684160,74,1238,31,99,65,356,225,46,38,53,44,162
Tony Snell,MIL,SG,79,200,26,4,University of New Mexico,9821429,75,2053,108,77,38,516,141,98,47,28,36,115
Tyler Zeller,MIL,C,84,253,28,5,University of North Carolina,1709538,24,406,0,62,17,141,111,19,7,14,12,48
Xavier Munford,MIL,SG,74,180,25,1,University of Rhode Island,0,6,21,0,1,1,3,1,4,1,0,2,4
Bradley Beal,WAS,SG,77,207,24,5,University of Florida,23775506,82,2977,199,484,292,1857,363,373,96,36,214,160
Chris McCullough,WAS,PF,83,200,22,2,Syracuse University,1471382,19,90,1,17,9,46,25,4,0,5,2,8
Devin Robinson,WAS,SF,80,190,22,0,University of Florida,0,1,13,0,1,0,2,5,0,1,0,0,2
Ian Mahinmi,WAS,C,83,250,31,9,,16661641,77,1145,0,138,90,366,312,53,38,42,100,230
Jason Smith,WAS,C,84,245,31,9,Colorado State University,5225000,33,285,4,41,19,113,53,14,3,13,16,44
Jodie Meeks,WAS,SG,76,210,30,8,University of Kentucky,3290000,77,1119,72,85,101,487,126,70,29,4,37,55
John Wall,WAS,PG,76,195,27,7,University of Kentucky,18063850,41,1410,62,218,175,797,150,393,57,45,158,80
Kelly Oubre,WAS,SF,79,205,22,2,University of Kansas,2093040,81,2231,126,192,191,953,363,98,80,35,90,234
Marcin Gortat,WAS,C,83,240,33,10,,12782609,82,2075,0,290,110,690,623,151,40,61,99,175
Markieff Morris,WAS,PF,82,245,28,6,University of Kansas,8.00E+06,73,1968,76,254,105,841,409,142,56,38,127,216
Mike Scott,WAS,PF,80,237,29,5,University of Virginia,1471382,76,1406,66,210,50,668,247,80,23,10,79,148
Otto Porter,WAS,SF,80,198,24,4,Georgetown University,24773250,77,2432,138,307,106,1134,492,157,116,41,75,151
Ramon Sessions,WAS,PG,75,190,31,10,"University of Nevada, Reno",390706,15,225,6,19,32,88,20,50,7,1,15,15
Tim Frazier,WAS,PG,73,170,27,3,Pennsylvania State University,2.00E+06,59,838,17,51,23,176,115,194,47,7,57,97
Tomas Satoransky,WAS,SG,79,210,26,1,,3.00E+06,73,1643,47,154,75,524,233,286,52,15,83,131
Andre Drummond,DET,C,83,279,24,5,University of Connecticut,23775506,78,2625,0,466,239,1171,1247,237,114,127,200,250
Anthony Tolliver,DET,PF,80,240,32,9,Creighton University,3290000,79,1757,159,60,106,703,241,90,32,21,58,144
Blake Griffin,DET,PF,82,251,28,7,University of Oklahoma,29727900,25,831,47,134,87,496,166,155,11,9,66,61
Dwight Buycks,DET,PG,75,190,28,2,Marquette University,748160,29,427,15,67,36,215,41,59,19,2,39,39
Eric Moreland,DET,PF,82,238,26,2,Oregon State University,1739333,67,805,0,66,11,143,278,78,31,51,42,116
Henry Ellenson,DET,PF,83,245,21,1,Marquette University,1780800,38,329,20,33,25,151,81,20,5,0,18,22
Ish Smith,DET,PG,72,175,29,7,Wake Forest University,6.00E+06,82,2043,35,354,81,894,224,360,64,20,108,140
Jameer Nelson,DET,PG,72,190,35,13,Saint Joseph's University,1429818,7,116,1,10,3,26,8,23,4,1,11,14
James Ennis,DET,SF,79,210,27,3,"California State University, Long Beach",3028410,27,551,21,53,33,202,67,22,15,6,18,53
Jon Leuer,DET,PF,82,228,28,6,University of Wisconsin,10497319,8,136,0,15,13,43,32,5,1,3,7,16
Kay Felder,DET,PG,69,176,22,1,Oakland University,0,2,6,0,1,0,2,4,0,0,0,1,0
Langston Galloway,DET,SG,74,200,26,3,Saint Joseph's University,6666667,58,863,75,51,33,360,92,58,35,5,18,39
Luis Montero,DET,SG,79,185,24,1,Westchester CC,0,2,8,0,0,0,0,2,0,0,0,2,0
Luke Kennard,DET,SG,78,206,21,0,Duke University,2759280,73,1463,81,125,65,558,176,124,44,13,69,86
Reggie Bullock,DET,SF,79,205,26,4,University of North Carolina,2500000,62,1732,125,142,39,698,154,95,47,13,47,70
Reggie Hearn,DET,SG,77,210,26,0,Northwestern University,0,3,7,1,0,0,3,0,0,0,0,0,0
Reggie Jackson,DET,PG,75,208,27,6,Boston College,1.60E+07,45,1201,52,194,112,656,125,238,27,4,99,87
Stanley Johnson,DET,SF,79,245,21,2,University of Arizona,3097800,69,1894,67,143,112,599,252,112,95,14,77,169
Cody Zeller,CHO,C,84,240,25,4,Indiana University,12584270,33,627,2,83,61,233,177,31,14,21,33,81
Dwayne Bacon,CHO,SG,78,222,22,0,Florida State University,815615,53,713,11,61,20,175,124,38,16,2,23,46
Dwight Howard,CHO,C,83,265,32,13,,23500000,81,2463,1,505,334,1347,1012,105,48,131,208,249
Frank Kaminsky,CHO,PF,84,242,24,2,University of Wisconsin,2847600,79,1835,104,203,155,873,288,129,36,19,66,95
Jeremy Lamb,CHO,SG,77,185,25,5,University of Connecticut,7.00E+06,80,1967,94,286,179,1033,324,186,61,32,93,138
Julyan Stone,CHO,SG,78,200,29,3,University of Texas at El Paso,1524305,23,175,6,0,1,19,29,26,4,2,7,21
Kemba Walker,CHO,PG,73,172,27,6,University of Connecticut,1.20E+07,80,2736,231,357,363,1770,248,444,91,24,179,98
Malik Monk,CHO,SG,75,200,19,0,University of Kentucky,2904480,63,854,83,70,32,421,66,91,20,9,49,60
