player,team,position,height,weight,age,experience,college,salary,games,minutes,points3,points2,points1,points,rebounds,assists,steals,blocks,turnovers,fouls
Devin Harris,DEN,PG,75,192,34,13,University of Wisconsin,4402546,27,533,35,34,49,222,42,67,14,4,27,55
Gary Harris,DEN,SG,76,210,23,3,Michigan State University,2550055,67,2304,156,284,134,1170,176,194,122,15,119,119
Jamal Murray,DEN,PG,76,207,20,1,University of Kentucky,3355320,81,2565,165,314,229,1352,297,274,79,28,172,173
Juan Hernangomez,DEN,PF,81,230,22,1,,2076840,25,277,14,15,10,82,54,12,6,3,9,25
Kenneth Faried,DEN,PF,80,228,28,6,Morehead State University,12921348,32,461,0,76,36,188,153,18,12,13,23,51
Malik Beasley,DEN,SG,77,196,21,1,Florida State University,1700640,62,583,28,45,22,196,71,31,15,7,24,36
Mason Plumlee,DEN,C,83,245,27,4,Duke University,14041096,74,1439,0,221,82,524,400,142,49,81,103,184
Monte Morris,DEN,PG,75,175,22,0,Iowa State University,0,3,25,0,4,2,10,2,7,3,0,1,1
Nikola Jokic,DEN,C,82,250,22,2,,1471382,75,2443,111,393,266,1385,803,458,90,61,210,212
Paul Millsap,DEN,PF,80,246,32,11,Louisiana Tech University,31269231,38,1143,39,163,112,555,245,105,39,44,73,99
Richard Jefferson,DEN,SF,79,233,37,16,University of Arizona,1454756,20,163,2,10,4,30,17,15,2,1,5,11
Torrey Craig,DEN,SF,78,215,27,0,University of South Carolina Upstate,0,39,629,17,45,22,163,127,25,12,15,20,63
Trey Lyles,DEN,PF,82,234,22,2,University of Kentucky,2441400,73,1391,83,187,101,724,347,91,30,34,61,111
Tyler Lydon,DEN,PF,82,215,21,0,Syracuse University,1579440,1,2,0,0,0,0,0,0,0,0,0,0
Will Barton,DEN,SG,78,175,27,5,University of Memphis,3533333,81,2683,156,309,182,1268,409,331,82,52,149,168
Wilson Chandler,DEN,SF,80,225,30,9,DePaul University,12016854,74,2346,88,193,88,738,398,159,43,39,92,156
Austin Rivers,LAC,SG,76,200,25,5,Duke University,11825000,61,2057,136,205,102,920,145,242,74,16,109,152
Avery Bradley,LAC,SG,74,180,27,7,University of Texas at Austin,8808989,6,165,1,25,2,55,22,11,5,1,8,12
Boban Marjanovic,LAC,C,87,290,29,2,,7.00E+06,20,166,0,38,41,117,87,8,6,5,14,23
C.J. Williams,LAC,SG,77,225,27,0,North Carolina State University,375000,38,707,22,65,13,209,56,43,31,13,20,63
Danilo Gallinari,LAC,SF,82,225,29,8,,20559599,21,671,36,66,81,321,101,41,12,10,26,30
DeAndre Jordan,LAC,C,83,265,29,9,Texas A&M University,22642350,77,2424,0,373,181,927,1171,117,39,71,137,203
Jamil Wilson,LAC,SF,79,230,27,0,"University of Oregon, Marquette University",0,15,274,27,11,2,105,32,10,5,8,8,34
Jawun Evans,LAC,PG,72,185,21,0,Oklahoma State University,815615,48,778,15,74,38,231,84,100,36,6,44,97
Lou Williams,LAC,SG,73,175,31,12,,7.00E+06,79,2589,186,396,432,1782,198,417,85,19,234,106
Milos Teodosic,LAC,PG,77,196,30,0,,6.00E+06,45,1134,88,63,39,429,126,209,23,5,97,103
Montrezl Harrell,LAC,C,80,240,24,2,University of Louisville,1471382,76,1293,1,347,139,836,306,74,36,52,68,143
Patrick Beverley,LAC,SG,73,185,29,5,University of Arkansas,5513514,11,334,24,24,14,134,45,32,19,5,25,34
Sam Dekker,LAC,PF,81,230,23,2,University of Wisconsin,1794600,73,883,10,118,37,303,174,38,24,9,33,71
Sindarius Thornwell,LAC,SG,77,212,23,0,University of South Carolina,815615,73,1156,23,77,59,282,140,68,48,25,53,125
Tobias Harris,LAC,PF,81,235,25,6,University of Tennessee,1.60E+07,32,1105,70,172,64,618,193,98,37,20,54,73
Tyrone Wallace,LAC,PG,77,205,23,0,University of California,0,30,851,10,100,61,291,105,71,27,13,46,83
Wesley Johnson,LAC,SF,79,215,30,7,"Iowa State University, Syracuse University",5881260,74,1486,60,90,43,403,216,61,76,62,55,146
Alex Caruso,LAL,PG,77,186,23,0,Texas A&M University,0,37,562,13,37,21,134,65,75,23,10,42,52
Andre Ingram,LAL,SG,75,190,32,0,American University,13824,2,64,5,3,3,24,6,7,3,3,3,3
Andrew Bogut,LAL,C,84,260,33,12,University of Utah,1105123,23,216,0,17,2,36,78,15,4,13,19,40
Brandon Ingram,LAL,SF,81,190,20,1,Duke University,5519400,59,1975,41,317,192,949,314,230,45,43,149,163
Brook Lopez,LAL,C,84,275,29,9,Stanford University,22642350,74,1735,112,257,111,961,294,126,30,98,98,195
Channing Frye,LAL,C,83,255,34,11,University of Arizona,7420912,9,150,9,11,3,52,25,10,1,1,4,15
Derrick Williams,LAL,PF,80,240,26,6,University of Arizona,83129,2,9,0,1,0,2,1,0,0,0,0,0
Isaiah Thomas,LAL,PG,69,185,28,6,University of Washington,6261395,17,456,33,54,58,265,36,85,6,1,54,33
Ivica Zubac,LAL,C,85,265,20,1,,1312611,43,410,0,61,39,161,123,25,8,15,26,47
Josh Hart,LAL,SG,77,209,22,0,Villanova University,1394520,63,1461,78,98,66,496,263,80,47,16,47,107
Julius Randle,LAL,C,81,250,23,3,University of Kentucky,4149242,82,2190,10,494,305,1323,654,210,43,45,213,274
Kentavious Caldwell-Pope,LAL,SG,77,205,24,4,University of Georgia,17745894,74,2458,159,181,153,992,387,162,106,16,97,145
Kyle Kuzma,LAL,PF,81,220,22,0,University of Utah,1423560,77,2401,159,309,147,1242,483,141,49,34,140,160
Lonzo Ball,LAL,PG,78,190,20,0,"University of California, Los Angeles",6286560,52,1780,90,113,32,528,360,376,88,43,136,117
Luol Deng,LAL,SF,81,220,32,13,Duke University,17190000,1,13,0,1,0,2,0,1,1,0,1,0
Thomas Bryant,LAL,C,82,248,20,0,Indiana University,815615,15,72,1,7,5,22,17,6,1,2,2,6
Travis Wear,LAL,SF,82,230,27,1,"University of North Carolina, University of California, Los Angeles",296636,17,228,17,8,8,75,38,7,4,5,6,30
Tyler Ennis,LAL,PG,75,194,23,3,Syracuse University,1524305,54,683,14,80,22,224,95,105,30,10,38,75
Vander Blue,LAL,SG,76,200,25,2,Marquette University,50000,5,45,0,1,1,3,1,3,1,0,3,2
Bogdan Bogdanovic,SAC,SG,78,205,25,0,,9470614,78,2175,129,215,100,917,223,258,72,16,125,172
Bruno Caboclo,SAC,SF,81,218,22,3,,2451225,10,100,3,6,5,26,21,3,2,4,4,7
Buddy Hield,SAC,SG,76,214,24,1,University of Oklahoma,3675480,80,2024,176,240,71,1079,307,155,85,22,124,148
De'Aaron Fox,SAC,PG,75,170,20,0,University of Kentucky,4609200,73,2026,47,281,141,844,204,320,70,20,173,163
Frank Mason,SAC,PG,72,189,23,0,University of Kansas,1184385,52,984,31,113,94,413,130,147,34,10,65,72
Garrett Temple,SAC,SG,78,195,31,7,Louisiana State University,8.00E+06,65,1615,89,110,60,547,152,124,57,27,79,135
Jack Cooley,SAC,PF,81,260,26,1,University of Notre Dame,0,7,87,0,13,14,40,30,6,1,0,3,13
JaKarr Sampson,SAC,SF,81,214,24,2,St. John's University,0,22,344,5,39,10,103,78,9,8,22,8,48
Justin Jackson,SAC,SF,80,200,22,0,University of North Carolina,2365560,68,1506,57,128,26,453,187,74,28,13,40,81
Kosta Koufos,SAC,C,84,265,28,9,Ohio State University,8393000,71,1391,0,222,33,477,472,87,47,32,49,146
Skal Labissiere,SAC,PF,83,225,21,1,University of Kentucky,1312611,60,1240,18,187,95,523,288,72,25,49,73,132
Vince Carter,SAC,SF,78,220,41,19,University of North Carolina,8.00E+06,58,1026,57,57,28,313,148,69,42,26,36,96
Willie Cauley-Stein,SAC,C,84,240,24,2,University of Kentucky,3704160,73,2044,3,385,153,932,510,172,77,67,109,185
Zach Randolph,SAC,PF,81,260,36,16,Michigan State University,12307692,59,1508,51,310,84,857,397,127,42,10,116,119
